Date,ZipCode,WaterUse,PowerUse
11_2009,90003,17.62,323
12_2009,90003,17.65,349
01_2010,90003,17.24,345
02_2010,90003,15.19,306
03_2010,90003,17.27,315
04_2010,90003,17.25,285
05_2010,90003,18.17,293
06_2010,90003,17.69,284
07_2010,90003,18.75,306
08_2010,90003,19.23,312
09_2010,90003,18.05,300
10_2010,90003,17.94,309
11_2010,90003,16.74,330
12_2010,90003,17.18,356
01_2011,90003,17.09,341
02_2011,90003,15.13,297
03_2011,90003,17.04,315
04_2011,90003,16.77,292
05_2011,90003,17.69,302
06_2011,90003,17.44,293
07_2011,90003,18.47,309
08_2011,90003,18.68,314
09_2011,90003,17.59,296
10_2011,90003,17.58,301
11_2011,90003,16.6,328
12_2011,90003,16.94,360
01_2012,90003,16.83,342
02_2012,90003,15.78,306
03_2012,90003,17.08,313
04_2012,90003,16.69,293
05_2012,90003,17.91,296
06_2012,90003,17.88,284
07_2012,90003,11.31,320
08_2012,90003,11.54,339
09_2012,90003,10.57,319
10_2012,90003,10.6,322
11_2012,90003,9.54,329
12_2013,90003,9.61,352
01_2013,90003,9.68,345
02_2013,90003,8.73,303
03_2013,90003,9.96,308
04_2013,90003,10,277
05_2013,90003,10.84,295
06_2013,90003,10.94,292
07_2005,90004,47.97,383
08_2005,90004,48.84,409
09_2005,90004,43.76,366
10_2005,90004,42.15,359
11_2005,90004,38.21,371
12_2005,90004,38.37,393
01_2006,90004,37.57,394
02_2006,90004,33.57,356
03_2006,90004,37.16,381
04_2006,90004,36.21,358
05_2006,90004,41.63,383
06_2006,90004,43.35,385
07_2006,90004,46.35,433
08_2006,90004,48.02,458
09_2006,90004,43.99,386
10_2006,90004,43.33,362
11_2006,90004,39.5,386
12_2006,90004,38.79,415
01_2007,90004,38.4,412
02_2007,90004,34.23,367
03_2007,90004,39.93,377
04_2007,90004,40.29,345
05_2007,90004,43.53,359
06_2007,90004,43.44,350
07_2007,90004,45.92,416
08_2007,90004,46.87,454
09_2007,90004,41.98,381
10_2007,90004,40.88,361
11_2007,90004,36.85,390
12_2007,90004,35.53,421
01_2008,90004,34.14,411
02_2008,90004,31.01,377
03_2008,90004,36.73,374
04_2008,90004,39.2,344
05_2008,90004,42.07,380
06_2008,90004,41.57,385
07_2008,90004,44.32,414
08_2008,90004,44.56,430
09_2008,90004,41.37,388
10_2008,90004,41.16,383
11_2008,90004,36.85,389
12_2008,90004,35.03,413
01_2009,90004,33.78,398
02_2009,90004,29.89,349
03_2009,90004,35.41,368
